住所コード,市区町村名,大字名,字丁目名,街区,地番・戸番,建物名,階数,buildingCode,総部屋数,目標物数,個人の家屋数,事業所数,空き部屋数,その他数,目標物比率,個人の家屋比率,事業所比率,空き部屋比率,その他比率,面積,延床面積,目標物総面積,目標物平均面積,個人の家屋総面積,個人の家屋平均面積,空き部屋総面積,空き部屋平均面積,事業所総面積,事業所平均面積,その他総面積,その他平均面積,飲食件数,物販（食品）件数,物販（衣料）件数,物販（日用雑貨）件数,サービス（レンタル）件数,サービス（冠婚葬祭）件数,サービス（生活関連）件数,サービス（自動車）件数,サービス（その他）件数,量販店件数,金融・保険件数,不動産件数,インフラ件数,専門職件数,スポーツ施設件数,娯楽件数,ホテル・旅館件数,医療・福祉件数,公共件数,教育件数,宅配・引越・郵便件数,運輸件数,建設・設備件数,自動車関連件数,協同組合件数,宗教関連件数,一般業件数,lang,lat,部屋数推定フラグ
13101,千代田区,平河町,１丁目,4,5,平和第１ビル,8,3004,12,0,0,12,0,0,0,0,100,0,0,386.1,3474.9,0,0,0,0,0,0,3474.9,289.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,139.7388044,35.6828086,0
13101,千代田区,平河町,１丁目,4,9,パークハビオ平河町,15,1002,93,0,0,0,92,1,0,0,0,98.92,1.08,387.54,5813.1,0,0,0,0,5425.56,58.97,0,0,387.54,387.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7383911,35.6827044,0
13101,千代田区,平河町,１丁目,4,11,呉服いとう丸菱,0,2027,1,0,0,1,0,0,0,0,100,0,0,52.81,105.62,0,0,0,0,0,0,105.62,105.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7384097,35.6828878,0
13101,千代田区,平河町,１丁目,4,11,はらだビル,4,3001,5,0,0,4,0,1,0,0,80,0,20,64.01,256.04,0,0,0,0,0,0,192.03,48.01,64.01,64.01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7383247,35.6828936,0
13101,千代田区,平河町,１丁目,4,4,ＨＩＤＡ麹町ビル,10,3001,14,0,0,11,0,3,0,0,78.57,0,21.43,145.7,1602.7,0,0,0,0,0,0,1165.6,105.96,437.1,145.7,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,3,139.7389281,35.6828994,0
13101,千代田区,平河町,１丁目,4,12,三信平河町ビル,10,3004,26,0,0,22,0,4,0,0,84.62,0,15.38,645.68,8393.84,0,0,0,0,0,0,6133.96,278.82,2259.88,564.97,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,2,139.7386078,35.6827892,0
13101,千代田区,平河町,１丁目,4,15,平河町小池ビル,6,3003,7,0,2,4,0,1,0,28.57,57.14,0,14.29,217.29,1303.74,0,0,325.94,162.97,0,0,869.16,217.29,108.65,108.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7391158,35.6829186,0
13101,千代田区,平河町,１丁目,4,4,原ビル,3,3003,6,0,3,2,0,1,0,50,33.33,0,16.67,127.58,382.74,0,0,95.69,31.9,0,0,159.48,79.74,127.58,127.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7389603,35.6827467,0
13101,千代田区,平河町,１丁目,4,3,平河町伏見ビル,10,3003,24,0,3,20,0,1,0,12.5,83.33,0,4.17,98.12,981.2,0,0,98.12,32.71,0,0,850.37,42.52,32.71,32.71,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,139.7390431,35.6828039,0
13101,千代田区,平河町,１丁目,4,3,（株）西陣,4,2027,1,0,0,1,0,0,0,0,100,0,0,201.35,805.4,0,0,0,0,0,0,805.4,805.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7391889,35.6827658,0
13101,千代田区,平河町,１丁目,4,16,,4,9999,4,0,4,0,0,0,0,100,0,0,0,111.35,445.4,0,0,445.4,111.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7392031,35.6829361,1
13101,千代田区,平河町,１丁目,5,6,平河町ＳＤビル,6,3004,15,0,0,14,0,1,0,0,93.33,0,6.67,100.62,704.34,0,0,0,0,0,0,603.72,43.12,100.62,100.62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,139.7387917,35.6823431,0
13101,千代田区,平河町,１丁目,5,,エルスタンザ平河町,14,1002,54,0,0,0,53,1,0,0,0,98.15,1.85,305.13,4271.82,0,0,0,0,4119.26,77.72,0,0,152.57,152.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7388883,35.6824919,0
13101,千代田区,平河町,１丁目,5,13,平河町ＵＴビル,9,3004,17,0,0,17,0,0,0,0,100,0,0,147.53,1475.3,0,0,0,0,0,0,1475.3,86.78,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,139.7386794,35.6824636,0
13101,千代田区,平河町,１丁目,5,9,厚生会館,9,3003,12,0,1,5,0,6,0,8.33,41.67,0,50,498.45,4486.05,0,0,249.23,249.23,0,0,1744.58,348.92,2492.25,415.38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7384483,35.6823975,0
13101,千代田区,平河町,１丁目,5,7,エクレール平河町,7,3001,25,0,6,9,10,0,0,24,36,40,0,132.64,1061.12,0,0,322.76,53.79,428.87,42.89,309.49,34.39,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,139.7386906,35.682335,0
13101,千代田区,平河町,１丁目,5,5,大野ビル,5,1002,7,0,1,1,4,1,0,14.29,14.29,57.14,14.29,96.54,482.7,0,0,96.54,96.54,193.08,48.27,96.54,96.54,96.54,96.54,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,139.7388711,35.6823447,0
13101,千代田区,平河町,１丁目,5,5,後藤ビル,5,3004,7,0,0,2,0,5,0,0,28.57,0,71.43,140.8,704,0,0,0,0,0,0,93.87,46.93,610.13,122.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7389531,35.6823425,0
13101,千代田区,平河町,１丁目,5,16,アオキスタジオビル,7,3003,11,0,2,8,0,1,0,18.18,72.73,0,9.09,264.46,2380.14,0,0,528.92,264.46,0,0,1586.76,198.35,264.46,264.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,139.7392322,35.6825081,0
13101,千代田区,平河町,１丁目,5,3,大和屋第二ビル,6,3003,9,0,2,5,0,2,0,22.22,55.56,0,22.22,74.78,448.68,0,0,62.32,31.16,0,0,236.8,47.36,149.56,74.78,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7392464,35.6823192,0
13101,千代田区,平河町,１丁目,5,4,平河町１５４ビル,6,3001,9,0,0,9,0,0,0,0,100,0,0,123.06,861.42,0,0,0,0,0,0,861.42,95.71,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,139.7391319,35.6823147,0
